學號,姓名,國文,英文,數學,自然,社會,平均
S001,楊俊傑,62,64,97,51,71,69
S002,李子涵,91,65,79,60,55,70
S003,趙俊傑,78,69,58,61,86,70.4
S004,劉佳穎,52,92,58,92,58,70.4
S005,劉佳穎,69,84,65,86,57,72.2
S006,黃子涵,68,84,75,79,96,80.4
S007,劉柏翰,68,79,65,64,52,65.6
S008,趙子涵,73,85,73,68,99,79.6
S009,吳俊傑,72,81,89,98,55,79
S010,黃志明,72,85,52,51,59,63.8
S011,陳佳穎,80,80,79,65,86,78
S012,劉柏翰,71,53,51,87,66,65.6
S013,黃佳穎,65,51,74,98,72,72
S014,王俊傑,67,92,97,83,70,81.8
S015,楊佳穎,91,88,75,74,98,85.2
S016,吳怡君,76,60,56,84,50,65.2
S017,周佳穎,90,59,76,71,66,72.4
S018,劉欣怡,62,61,77,97,72,73.8
S019,張怡君,50,59,69,52,68,59.6
S020,黃柏翰,93,90,96,57,77,82.6
S021,王欣怡,72,100,62,80,85,79.8
S022,張冠宇,60,86,66,98,74,76.8
S023,張欣怡,97,63,77,56,55,69.6
S024,劉冠宇,60,85,60,53,77,67
S025,楊柏翰,99,61,61,63,96,76
S026,吳志明,78,77,76,79,75,77
S027,劉柏翰,73,58,63,66,84,68.8
S028,周怡君,64,75,93,68,90,78
S029,劉子涵,61,71,76,90,73,74.2
S030,陳柏翰,62,55,97,81,91,77.2
S031,李承恩,71,87,86,92,54,78
S032,楊欣怡,87,58,58,59,63,65
S033,劉欣怡,70,65,66,94,66,72.2
S034,吳怡君,64,78,54,54,60,62
S035,吳子涵,62,84,53,97,71,73.4
S036,趙怡君,86,69,100,80,91,85.2
S037,陳怡君,75,52,98,85,50,72
S038,周冠宇,86,51,81,77,51,69.2
S039,楊佳穎,73,56,80,93,66,73.6
S040,李冠宇,94,100,66,50,61,74.2
S041,楊怡君,92,65,94,97,71,83.8
S042,趙怡君,95,60,56,68,68,69.4
S043,周欣怡,62,95,87,80,80,80.8
S044,陳俊傑,94,85,94,100,78,90.2
S045,周雅婷,62,72,60,86,56,67.2
S046,周俊傑,89,55,97,50,56,69.4
S047,楊雅婷,55,71,54,92,99,74.2
S048,周佳穎,91,81,62,67,83,76.8
S049,黃佳穎,65,95,77,76,85,79.6
S050,吳怡君,83,65,82,86,79,79
