編號,姓名,性別
1,王大明,男
2,李小華,女
3,張志偉,男
4,陳美玲,女
5,林俊傑,男
6,黃雅婷,女
7,劉家豪,男
8,吳怡君,女
9,蔡宗翰,男
10,鄭雅涵,女
11,許智傑,男
12,謝佳穎,女
13,郭建宏,男
14,簡淑芬,女
15,曾彥翔,男
16,邱意晴,女
17,莊明軒,男
18,廖婉如,女
19,周子軒,男
20,葉芷涵,女
21,洪偉成,男
22,徐佳琳,女
23,賴俊宏,男
24,方淑惠,女
25,邬志豪,男
26,蘇芳儀,女
27,呂宗翰,男
28,盧怡君,女
29,何家瑞,男
30,江佩珊,女
31,羅志祥,男
32,詹雅雯,女
33,胡冠廷,男
34,潘佳穎,女
35,葉俊宏,男
36,趙心瑜,女
37,梁哲嘉,男
38,許芸慈,女
39,藍天佑,男
40,康芷瑄,女
41,范姜宏,男
42,宋宜芳,女
43,韓明哲,男
44,唐雨婷,女
45,蕭裕民,男
46,馮曉君,女
47,董育廷,男
48,程雅筑,女
49,曹志遠,男
50,鄧宜真,女
51,傅俊豪,男
52,黃筱涵,女
53,彭建彰,男
54,游佳蓉,女
55,鄭皓中,男
56,楊芷寧,女
57,蔡承翰,男
58,許芯瑜,女
59,鄭翔任,男
60,劉育廷,男
61,陳怡安,女
62,林子軒,男
63,黃國恩,男
64,張心怡,女
65,李承翰,男
66,吳宜蓁,女
67,王柏翔,男
68,周芳如,女
69,蔡宗佑,男
70,鄭雅筑,女
71,許哲瑋,男
72,謝宜玲,女
73,郭育廷,男
74,簡嘉涵,女
75,曾建豪,男
76,邱筱涵,女
77,莊惠茹,女
78,廖俊傑,男
79,周雅芳,女
80,葉家銘,男
81,洪子涵,女
82,徐浩誠,男
83,賴郁婷,女
84,方冠霖,男
85,蘇雅惠,女
86,呂家瑋,男
87,盧品臻,女
88,何宜霖,男
89,江明珊,女
90,羅偉倫,男
91,詹雅琪,女
92,胡子杰,男
93,潘若瑩,女
94,葉庭豪,男
95,趙韻如,女
96,梁哲瑋,男
97,許惠婷,女
98,藍士博,男
99,康雅筑,女
100,范姜皓,男
101,宋雨涵,女
102,韓承翰,男
103,唐嘉羚,女
104,蕭宇軒,男
105,馮于珊,女
106,董育成,男
107,程雅慧,女
108,曹哲維,男
109,鄧筱晴,女
110,傅冠穎,男
111,黃于珊,女
112,彭子瑜,女
113,游冠廷,男
114,鄭雅棻,女
115,楊承恩,男
116,蔡宜珊,女
117,許家豪,男
118,劉育軒,男
119,陳思涵,女
120,林子柔,女
121,黃國豪,男
122,張佳蓉,女
123,李育廷,男
124,吳佳穎,女
125,王建宏,男
126,周思婷,女
127,蔡佩珊,女
128,鄭宇翔,男
129,許哲銘,男
130,謝宜臻,女
131,郭家瑋,男
132,簡宜君,女
133,曾俊豪,男
134,邱雅芳,女
135,莊家銘,男
136,廖思穎,女
137,周子柔,女
138,葉承翰,男
139,洪佩珊,女
140,徐于珊,女
141,賴俊豪,男
142,方思涵,女
143,蘇冠霖,男
144,呂筱涵,女
145,盧家宏,男
146,何雅筑,女
147,江承翰,男
148,羅于珊,女
149,詹宜珊,女
150,胡子涵,女
151,潘冠廷,男
152,葉宜臻,女
153,趙俊傑,男
154,梁雅惠,女
155,許家瑋,男
156,藍品瑜,女
157,康哲維,男
158,范姜宜霖,男
159,宋芷涵,女
160,韓雨珊,女
161,唐志偉,男
162,蕭雅芳,女
163,馮冠廷,男
164,董芷瑄,女
165,程浩誠,男
166,曹筱晴,女
167,鄧冠霖,男
168,傅雅筑,女
169,黃承恩,男
170,彭思穎,女
171,游家豪,男
172,鄭芷寧,女
173,楊哲維,男
174,蔡宜君,女
175,許子軒,男
176,劉品瑜,女
177,陳建宏,男
178,林雅筑,女
179,黃偉成,男
180,張宜蓁,女
181,李冠霖,男
182,吳筱涵,女
183,王雅筑,女
184,周家瑋,男
185,蔡思涵,女
186,鄭哲嘉,男
187,許于珊,女
188,謝冠廷,男
189,郭宜臻,女
190,簡俊宏,男
191,曾雅惠,女
192,邱家銘,男
193,莊宜珊,女
194,廖家豪,男
195,周雅筑,女
196,葉冠霖,男
197,洪子瑜,女
198,徐哲瑋,男
199,賴筱晴,女
200,方俊宏,男
